,0
cap-shape,0.003989754867506846
cap-surface,0.00945334666237207
cap-color,0.013509214086465098
bruises,0.0516993538865942
odor,0.20545132920901016
gill-attachment,0.0012371500637287033
gill-spacing,0.03580022753185215
gill-size,0.11764184826622248
gill-color,0.12881807178529267
stalk-shape,0.023951328669134776
stalk-root,0.04389674342361423
stalk-surface-above-ring,0.03952817167773808
stalk-surface-below-ring,0.03068471512605123
stalk-color-above-ring,0.01862797340294045
stalk-color-below-ring,0.02022444528412653
veil-color,0.001741672040634858
ring-number,0.014007536489416779
ring-type,0.06984900543681105
spore-print-color,0.09149092153974869
population,0.05121632612691347
habitat,0.027180864423825484
